"id","date","fear_greed_index","fear_greed_rating","vix","created_at","qqq_close","smh_close","spx_close","dji_close"
"23091","23/4/2025 00:00:00","21.5429","extreme fear","28.45","12/4/2026 22:56:10","452.37","198.29","5375.86","39606.57"
"23092","24/4/2025 00:00:00","24.0857","extreme fear","26.47","12/4/2026 22:56:10","465.1","208.32","5484.77","40093.4"
"23093","25/4/2025 00:00:00","34.5143","fear","24.84","12/4/2026 22:56:10","470.28","211.31","5525.21","40113.5"
"23094","28/4/2025 00:00:00","32.1429","fear","25.15","12/4/2026 22:56:10","470.13","210","5528.75","40227.59"
"23095","29/4/2025 00:00:00","32.7429","fear","24.17","12/4/2026 22:56:10","473.24","209.64","5560.83","40527.62"
"23096","30/4/2025 00:00:00","32.3714","fear","24.7","12/4/2026 22:56:10","473.18","210.62","5569.06","40669.36"
"23097","1/5/2025 00:00:00","41.2571","fear","24.6","12/4/2026 22:56:10","479.36","211.64","5604.14","40752.96"
"23098","2/5/2025 00:00:00","38.2857","fear","22.68","12/4/2026 22:56:10","486.48","218.35","5686.67","41317.43"
"23099","5/5/2025 00:00:00","53.0571","neutral","23.64","12/4/2026 22:56:10","483.59","216.93","5650.38","41218.83"
"23100","6/5/2025 00:00:00","54.6571","neutral","24.76","12/4/2026 22:56:10","479.09","214.92","5606.91","40829"
"23101","7/5/2025 00:00:00","54.1429","neutral","23.55","12/4/2026 22:56:10","480.97","219.34","5631.28","41113.97"
"23102","8/5/2025 00:00:00","57.6571","greed","22.48","12/4/2026 22:56:10","485.94","221.26","5663.94","41368.45"
"23103","9/5/2025 00:00:00","60.0286","greed","21.9","12/4/2026 22:56:10","485.62","222.71","5659.91","41249.38"
"23104","12/5/2025 00:00:00","64.4857","greed","18.39","12/4/2026 22:56:10","505.4","236.67","5844.19","42410.1"
"23105","13/5/2025 00:00:00","68.2","greed","18.22","12/4/2026 22:56:10","513.11","244.8","5886.55","42140.43"
"23106","14/5/2025 00:00:00","70.4","greed","18.62","12/4/2026 22:56:10","516.18","247.22","5892.58","42051.06"
"23107","15/5/2025 00:00:00","69.1429","greed","17.83","12/4/2026 22:56:10","516.75","246.36","5916.93","42322.75"
"23108","16/5/2025 00:00:00","70.6","greed","17.24","12/4/2026 22:56:10","519","245.66","5958.38","42654.74"
"23109","19/5/2025 00:00:00","69.7429","greed","18.14","12/4/2026 22:56:10","519.5","245.25","5963.6","42792.07"
"23110","20/5/2025 00:00:00","69.1714","greed","18.09","12/4/2026 22:56:10","517.76","244.78","5940.46","42677.24"
"23111","21/5/2025 00:00:00","66.2286","greed","20.87","12/4/2026 22:56:10","510.57","240.72","5844.61","41860.44"
"23112","22/5/2025 00:00:00","66.8","greed","20.28","12/4/2026 22:56:10","511.52","240.06","5842.01","41859.09"
"23113","23/5/2025 00:00:00","64.0857","greed","22.29","12/4/2026 22:56:10","506.79","236.7","5802.82","41603.07"
"23114","27/5/2025 00:00:00","65.7429","greed","18.96","12/4/2026 22:56:10","518.71","244.21","5921.54","42343.65"
"23115","28/5/2025 00:00:00","64.7429","greed","19.31","12/4/2026 22:56:10","516.41","241.61","5888.55","42098.7"
"23116","29/5/2025 00:00:00","64.4571","greed","19.18","12/4/2026 22:56:10","517.43","243.32","5912.17","42215.73"
"23117","30/5/2025 00:00:00","61.9143","greed","18.57","12/4/2026 22:56:10","516.61","239.01","5911.69","42270.07"
"23118","2/6/2025 00:00:00","62.4286","greed","18.36","12/4/2026 22:56:10","520.69","242.55","5935.94","42305.48"
"23119","3/6/2025 00:00:00","54.5714","neutral","17.69","12/4/2026 22:56:10","524.76","248.02","5970.37","42519.64"
"23120","4/6/2025 00:00:00","54.8857","neutral","17.61","12/4/2026 22:56:10","526.22","250.97","5970.81","42427.74"
"23121","5/6/2025 00:00:00","57.9714","greed","18.48","12/4/2026 22:56:10","522.26","250.52","5939.3","42319.74"
"23122","6/6/2025 00:00:00","61.7714","greed","16.77","12/4/2026 22:56:10","527.37","251.95","6000.36","42762.87"
"23123","9/6/2025 00:00:00","63.4286","greed","17.16","12/4/2026 22:56:10","528.14","256.16","6005.88","42761.76"
"23124","10/6/2025 00:00:00","64","greed","16.95","12/4/2026 22:56:10","531.64","261.26","6038.81","42866.87"
"23125","11/6/2025 00:00:00","64.2","greed","17.26","12/4/2026 22:56:10","529.85","261.07","6022.24","42865.77"
"23126","12/6/2025 00:00:00","64.6","greed","18.02","12/4/2026 22:56:10","531.09","262.33","6045.26","42967.62"
"23127","13/6/2025 00:00:00","59.5429","greed","20.82","12/4/2026 22:56:10","524.42","256.19","5976.97","42197.79"
